江苏频道,#genre#
广东卫视4K-25FPS,http://192.168.5.1:4000/udp/239.49.1.24:8000?fcc=180.100.72.185:15970
欢笑剧场4K,http://192.168.5.1:4000/udp/239.49.8.106:8000?fcc=180.100.72.185:15970
江苏卫视4K,http://192.168.5.1:4000/udp/239.49.1.62:8000?fcc=180.100.72.185:15970
江苏卫视4K,http://192.168.5.1:4000/udp/239.49.1.61:8000?fcc=180.100.72.185:15970
湖南卫视4K,http://192.168.5.1:4000/udp/239.49.1.68:8000?fcc=180.100.72.185:15970
湖南卫视4K,http://192.168.5.1:4000/udp/239.49.1.67:8000?fcc=180.100.72.185:15970
东方卫视4K,http://192.168.5.1:4000/udp/239.49.1.70:8000?fcc=180.100.72.185:15970
东方卫视4K,http://192.168.5.1:4000/udp/239.49.1.69:8000?fcc=180.100.72.185:15970
四川卫视4K,http://192.168.5.1:4000/udp/239.49.1.66:8000?fcc=180.100.72.185:15970
四川卫视4K,http://192.168.5.1:4000/udp/239.49.1.65:8000?fcc=180.100.72.185:15970
浙江卫视4K,http://192.168.5.1:4000/udp/239.49.1.64:8000?fcc=180.100.72.185:15970
浙江卫视4K,http://192.168.5.1:4000/udp/239.49.1.63:8000?fcc=180.100.72.185:15970
山东卫视4K,http://192.168.5.1:4000/udp/239.49.1.72:8000?fcc=180.100.72.185:15970
山东卫视4K,http://192.168.5.1:4000/udp/239.49.1.71:8000?fcc=180.100.72.185:15970
浙江频道,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江教科,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江影视娱乐,http://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
地方频道,#genre#
南京新闻综合,http://192.168.5.1:4000/udp/239.49.0.25:8192
南京教科,http://192.168.5.1:4000/udp/239.49.0.183:9434
南京十八·生活,http://192.168.5.1:4000/udp/239.49.0.26:8200
南京文旅纪录,http://192.168.5.1:4000/udp/239.49.0.38:8000
